solution,weighted_score,rtp_violation_penalty,win_rate_shortfall_penalty,missing_jackpot_penalty,symbol_concentration_penalty,rtp,win_rate,symbol_concentration,jackpot_probability,reel_1,reel_2,reel_3
1,9.298245614035089,0.0,0.0,0,9.298245614035089,0.9409722222222222,0.5659722222222222,0.4537037037037037,0.010416666666666666,"[4, 2, 2, 1, 3, 0, 3, 1, 0, 2, 2, 2]","[3, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2]","[0, 2, 2, 2, 2, 1, 4, 2, 2, 2, 3, 1]"
2,56.75462962962963,20.33101851851852,36.423611111111114,0,0.0,0.7366898148148148,0.1857638888888889,0.20833333333333334,0.0005787037037037037,"[2, 2, 2, 3, 1, 0, 1, 4, 4, 4, 3, 0]","[2, 2, 4, 4, 4, 3, 3, 0, 0, 1, 1, 2]","[1, 0, 2, 2, 0, 1, 3, 3, 3, 4, 4, 4]"
3,9.298245614035089,0.0,0.0,0,9.298245614035089,0.9409722222222222,0.5659722222222222,0.4537037037037037,0.010416666666666666,"[4, 2, 2, 1, 3, 0, 3, 1, 0, 2, 2, 2]","[3, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2]","[0, 2, 2, 2, 2, 1, 4, 2, 2, 2, 3, 1]"
4,308.24829434697864,302.1481481481482,0.4861111111111205,0,5.614035087719297,3.9814814814814814,0.5451388888888888,0.35648148148148145,0.023148148148148147,"[3, 3, 3, 3, 0, 2, 1, 4, 4, 4, 4, 2]","[4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3]","[3, 2, 1, 0, 4, 4, 4, 4, 3, 3, 3, 3]"
5,10.583333333333334,0.0,2.9166666666666674,1,6.666666666666666,0.9444444444444444,0.5208333333333334,0.38425925925925924,0.0,"[2, 2, 1, 4, 3, 3, 2, 2, 4, 2, 2, 0]","[2, 2, 2, 2, 2, 2, 2, 2, 0, 3, 3, 3]","[2, 2, 2, 2, 2, 1, 0, 3, 3, 1, 4, 2]"
6,59.835769980506825,42.25231481481482,15.127314814814818,0,2.4561403508771926,1.3825231481481481,0.39872685185185186,0.27314814814814814,0.005208333333333333,"[2, 2, 2, 3, 3, 3, 0, 1, 4, 4, 4, 0]","[2, 2, 2, 2, 4, 4, 4, 3, 3, 3, 3, 2]","[2, 2, 2, 2, 0, 3, 3, 3, 1, 4, 4, 4]"
7,19.600389863547754,0.9444444444444375,13.796296296296301,1,3.859649122807017,0.9305555555555556,0.41203703703703703,0.3101851851851852,0.0,"[2, 2, 2, 2, 3, 3, 0, 1, 4, 4, 2, 2]","[2, 2, 2, 2, 4, 4, 4, 3, 3, 3, 2, 2]","[0, 2, 2, 1, 1, 1, 4, 4, 3, 3, 2, 2]"
8,31.79117933723197,2.1365740740740717,29.47916666666667,0,0.17543859649122676,0.9186342592592592,0.2552083333333333,0.21296296296296294,0.0005787037037037037,"[2, 2, 2, 3, 3, 0, 1, 1, 4, 4, 4, 0]","[2, 2, 2, 0, 4, 4, 4, 1, 1, 3, 3, 3]","[4, 0, 2, 2, 0, 3, 3, 3, 1, 1, 4, 4]"
9,154.30945419103318,145.087962962963,3.9583333333333415,0,5.263157894736839,2.4108796296296298,0.5104166666666666,0.34722222222222215,0.020833333333333332,"[2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 2]","[2, 2, 2, 2, 4, 4, 4, 3, 3, 3, 3, 3]","[2, 2, 2, 2, 4, 4, 4, 3, 3, 3, 3, 3]"
10,212.62451267056534,199.1388888888889,9.976851851851858,0,3.5087719298245634,2.951388888888889,0.45023148148148145,0.300925925925926,0.013888888888888888,"[3, 3, 3, 3, 0, 0, 1, 4, 4, 4, 4, 2]","[4, 4, 4, 4, 4, 0, 0, 3, 3, 3, 3, 3]","[0, 0, 1, 2, 4, 4, 4, 4, 3, 3, 3, 3]"
